userID,placeID,Cactivity,Cambience,Cbudget,Cchildren,Ccolor,Ccuisine,Cdress,Cdrink,Cinterest,Cmaritalstatus,Cpayment,Cpersonality,Creligion,Csmoker,Ctransport,Raccessibility,Ralcohol,Rambience,Rarea,Rcuisine,Rdress,Rfranchise,Rotherservices,Rparking,Rpayment,Rprice,Rsmoking,averageHoursOpen,birth_year,food_rating,height,numDaysOpen,rating,service_rating,weight
1077,135085,1.0,1.0,1.0,2.0,2.0,67.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1987.0,2.0,1.71,7.0,2.0,2.0,65.0
1077,135038,1.0,1.0,1.0,2.0,2.0,67.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5714285714285716,1987.0,2.0,1.71,7.0,2.0,1.0,65.0
1077,132825,1.0,1.0,1.0,2.0,2.0,67.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,1987.0,2.0,1.71,7.0,2.0,2.0,65.0
1077,135060,1.0,1.0,1.0,2.0,2.0,67.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2142857142857144,1987.0,2.0,1.71,7.0,1.0,2.0,65.0
1077,135027,1.0,1.0,1.0,2.0,2.0,67.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.714285714285714,1987.0,1.0,1.71,7.0,0.0,1.0,65.0
1068,135104,1.0,2.0,0.0,1.0,2.0,67.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,67.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,10.071428571428571,1988.0,1.0,1.57,7.0,1.0,2.0,72.0
1068,132740,1.0,2.0,0.0,1.0,2.0,67.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1988.0,0.0,1.57,7.0,0.0,0.0,72.0
1068,132663,1.0,2.0,0.0,1.0,2.0,67.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.071428571428571,1988.0,1.0,1.57,7.0,1.0,1.0,72.0
1068,132732,1.0,2.0,0.0,1.0,2.0,67.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,1988.0,0.0,1.57,7.0,0.0,0.0,72.0
1068,132630,1.0,2.0,0.0,1.0,2.0,67.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.071428571428571,1988.0,1.0,1.57,7.0,1.0,1.0,72.0
